Name,Category,PortionSize_g,Protein,Carbs,Sugar,Fats,Vitamins,Minerals,Calories
Tofu Block,Protein,150,15,6,2,9,4,5,150
Lentil Soup,Ready Meal,250,12,30,4,4,5,4,220
Almond Milk,Drink,200,2,8,5,3,5,3,60
Vegan Burger,Protein,120,18,15,2,10,3,6,220
Chickpea Pasta,Carb,100,20,60,3,4,3,4,350
Cashew Cheese,Spread,30,5,4,1,12,3,4,130
Peanut Butter,Spread,32,8,6,3,16,4,5,190
Soy Yogurt,Dessert,150,6,15,8,5,5,4,120
Quinoa Salad,Ready Meal,200,9,35,3,6,5,5,240
Vegan Nuggets,Protein,100,14,18,2,7,3,5,210
Oat Milk,Drink,200,3,16,7,4,5,3,90
Seitan Strips,Protein,100,25,6,1,2,3,6,170
Hummus,Spread,50,4,6,1,8,4,5,120
Vegan Pizza,Ready Meal,150,12,40,4,10,3,4,300
Vegan Ice Cream,Dessert,100,3,20,15,10,4,3,250
Tempeh,Protein,100,20,9,1,11,4,5,195
Vegan Wrap,Ready Meal,180,10,45,3,8,4,4,280
Vegan Cheese,Spread,30,3,2,0,7,2,4,90
Chia Pudding,Dessert,120,5,18,4,6,5,5,160
Edamame Beans,Protein,100,11,10,2,5,5,6,120
Vegan Granola,Carb,50,6,32,12,7,3,3,210
Jackfruit Curry,Ready Meal,200,6,40,8,10,4,5,260
Vegan Protein Bar,Snack,60,15,20,8,6,3,4,220
Oatmeal,Carb,150,7,45,6,5,4,4,280
Vegan Smoothie,Drink,250,5,40,28,3,5,4,180
